Position	Nickname	FPPG	Salary	Team	Opponent	NF Proj	NF Value	DFF Proj	DFF Value	Defense PPG to Pos	USG%	Final Proj	Final Value	PTS for 5x value	Minutes
SF	Josh Jackson	27.07	$5,100.00	DET	MIL	20.30	3.98	22.9	4.49	3	27	21.6	4.24	25.50	
PF	Draymond Green	19.30	$5,100.00	GS	LAC	24.00	4.71	27.2	5.33	14	7.7	25.6	5.02	25.50	
PF	Kelly Olynyk	25.08	$5,000.00	MIA	BOS	26.20	5.24	21.8	4.36	4	16.9	24	4.80	25.00	
SF	Miles Bridges	23.91	$5,000.00	CHA	ATL	20.20	4.04	19.4	3.88	30	17.9	19.8	3.96	25.00	
PF	Serge Ibaka	25.04	$5,000.00	LAC	GS	26.70	5.34	24.2	4.84	17	21.2	25.45	5.09	25.00	
SF	Rui Hachimura	23.40	$5,000.00	WAS	PHI	21.80	4.36	20	4.00	21	20.3	20.9	4.18	25.00	
C	Wendell Carter	25.61	$4,900.00	CHI	SAC	29.60	6.04	29.9	6.10	22	18.1	29.75	6.07	24.50	
SG	Tyrese Haliburton	23.00	$4,900.00	SAC	CHI	23.40	4.78	20.9	4.27	16	12.8	22.15	4.52	24.50	
PF	Marvin Bagley	21.34	$4,800.00	SAC	CHI	26.30	5.48	25.2	5.25	24	25.6	25.75	5.36	24.00	
SG	Donte DiVincenzo	24.30	$4,800.00	MIL	DET	25.90	5.40	26.3	5.48	13	18.1	26.1	5.44	24.00	
SF	Danilo Gallinari	12.75	$4,800.00	ATL	CHA	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	24.00	#N/A
C	James Wiseman	24.47	$4,800.00	GS	LAC	20.50	4.27	19.2	4.00	14	23.3	19.85	4.14	24.00	
PF	JaVale McGee	22.51	$4,700.00	CLE	ORL	21.90	4.66	21.7	4.62	13	27	21.8	4.64	23.50	
SG	Luguentz Dort	22.47	$4,700.00	OKC	NO	24.10	5.13	19.9	4.23	9	19.2	22	4.68	23.50	
PF	Bobby Portis	24.54	$4,700.00	MIL	DET	20.40	4.34	23.7	5.04	28	17.6	22.05	4.69	23.50	
SF	Bogdan Bogdanovic	21.31	$4,700.00	ATL	CHA	27.10	5.77	29	6.17	23	18.1	28.05	5.97	23.50	
C	Brook Lopez	18.54	$4,700.00	MIL	DET	21.30	4.53	21.3	4.53	9	14.5	21.3	4.53	23.50	
PG	Payton Pritchard	18.96	$4,700.00	BOS	MIA	10.20	2.17	14.4	3.06	12	15.9	12.3	2.62	23.50	
SF	Joe Ingles	19.57	$4,700.00	UTA	NY	21.10	4.49	21	4.47	16	15.1	21.05	4.48	23.50	
PF	Davis Bertans	18.17	$4,600.00	WAS	PHI	20.00	4.35	17.3	3.76	7	18.5	18.65	4.05	23.00	
C	Robert Williams	22.59	$4,600.00	BOS	MIA	21.10	4.59	21.9	4.76	6	14.7	21.5	4.67	23.00	
SF	Cam Reddish	20.84	$4,600.00	ATL	CHA	24.40	5.30	23.8	5.17	23	17.8	24.1	5.24	23.00	
PG	Shake Milton	22.11	$4,500.00	PHI	WAS	17.20	3.82	17.6	3.91	29	21.1	17.4	3.87	22.50	
SG	Kevin Huerter	22.91	$4,500.00	ATL	CHA	20.70	4.60	23.1	5.13	7	18.1	21.9	4.87	22.50	
PF	Royce ONeale	19.36	$4,500.00	UTA	NY	22.00	4.89	22.5	5.00	21	9	22.25	4.94	22.50	
PF	Nicolas Batum	24.41	$4,400.00	LAC	GS	22.60	5.14	20.5	4.66	17	12.4	21.55	4.90	22.00	
SG	Josh Hart	21.66	$4,400.00	NO	OKC	23.40	5.32	24	5.45	4	12.3	23.7	5.39	22.00	
